SA12018_code	DHB2015_name
7000931	Northland
7000934	Northland
7000936	Northland
7000922	Northland
7000925	Northland
7000937	Northland
7000966	Northland
7000967	Northland
7000965	Northland
7000919	Northland
7000960	Northland
7000961	Northland
7000962	Northland
7000913	Northland
7000972	Northland
7000978	Northland
7000975	Northland
7000971	Northland
7000980	Northland
7000981	Northland
7000979	Northland
7000982	Northland
7000983	Northland
7000413	Northland
7000550	Northland
7000549	Northland
7000547	Northland
7000548	Northland
7000551	Northland
7000553	Northland
7000554	Northland
7000555	Northland
7000556	Northland
7000594	Northland
7000590	Northland
7000589	Northland
7000591	Northland
7000592	Northland
7000545	Northland
7000579	Northland
7000580	Northland
7000581	Northland
7000573	Northland
7000574	Northland
7000575	Northland
7000626	Northland
7000582	Northland
7000583	Northland
7000584	Northland
7000585	Northland
7000587	Northland
7000586	Northland
7000588	Northland
7000635	Northland
7000595	Northland
7000593	Northland
7000596	Northland
7000597	Northland
7000628	Northland
7000678	Northland
7000681	Northland
7000685	Northland
7000686	Northland
7000688	Northland
7000634	Northland
7000690	Northland
7000695	Northland
7000693	Northland
7000691	Northland
7000745	Northland
7000747	Northland
7000698	Northland
7000696	Northland
7000697	Northland
7000701	Northland
7000704	Northland
7000702	Northland
7000706	Northland
7000713	Northland
7000599	Northland
7000602	Northland
7000605	Northland
7000603	Northland
7000600	Northland
7000643	Northland
7000644	Northland
7000601	Northland
7000642	Northland
7000645	Northland
7000646	Northland
7000649	Northland
7000648	Northland
7000647	Northland
7000651	Northland
7000650	Northland
7000652	Northland
7000711	Northland
7000653	Northland
7000716	Northland
7000717	Northland
7000719	Northland
7000722	Northland
7000724	Northland
7000715	Northland
7000721	Northland
7000723	Northland
7000725	Northland
7000728	Northland
7000640	Northland
7000709	Northland
7000641	Northland
7000710	Northland
7000712	Northland
7000636	Northland
7000637	Northland
7000639	Northland
7000707	Northland
7000638	Northland
7000708	Northland
7000658	Northland
7000656	Northland
7000655	Northland
7000659	Northland
7000660	Northland
7000607	Northland
7000661	Northland
7000606	Northland
7000668	Northland
7000663	Northland
7000729	Northland
7000664	Northland
7000666	Northland
7000665	Northland
7000727	Northland
7000726	Northland
7000730	Northland
7000732	Northland
7000734	Northland
7000608	Northland
7000670	Northland
7000671	Northland
7000673	Northland
7000672	Northland
7000674	Northland
7000667	Northland
7000735	Northland
7000736	Northland
7000739	Northland
7000738	Northland
7000740	Northland
7000752	Northland
7000737	Northland
7000759	Northland
7000754	Northland
7000755	Northland
7000756	Northland
7000760	Northland
7000761	Northland
7000611	Northland
7000614	Northland
7000615	Northland
7000613	Northland
7000612	Northland
7000617	Northland
7000675	Northland
7000676	Northland
7000619	Northland
7000621	Northland
7000620	Northland
7000846	Northland
7000849	Northland
7000848	Northland
7000852	Northland
7000847	Northland
7000851	Northland
7000850	Northland
7000863	Northland
7000862	Northland
7000864	Northland
7000854	Northland
7000616	Northland
7000622	Northland
7000565	Northland
7000566	Northland
7000564	Northland
7000568	Northland
7000567	Northland
7000532	Northland
7000535	Northland
7000569	Northland
7000537	Northland
7000538	Northland
7000539	Northland
7000814	Northland
7000815	Northland
7000833	Northland
7000817	Northland
7000816	Northland
7000835	Northland
